央视频道,#genre#
CCTV11,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001309/index.m3u8?
CCTV12,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001239/index.m3u8?
CCTV13,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001328/index.m3u8?
CCTV14,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001240/index.m3u8?
CCTV15,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001338/index.m3u8?
CCTV17,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001241/index.m3u8?
CGTV,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001024/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
卫视频道,#genre#
请用海鸥直播升级版观看,
联系客服QQ110651397,
地方频道,#genre#
请用海鸥直播升级版观看,
联系客服QQ110651397,
港 澳 台,#genre#
请用海鸥直播升级版观看,
联系客服QQ110651397,
国外频道,#genre#
请用海鸥直播升级版观看,
联系客服QQ110651397,
体育频道,#genre#
请用海鸥直播升级版观看,
联系客服QQ110651397,
少儿频道,#genre#
请用海鸥直播升级版观看,
联系客服QQ110651397,
影视频道,#genre#
请用海鸥直播升级版观看,
联系客服QQ110651397,
iHOT系列,#genre#
请用海鸥直播升级版观看,
联系客服QQ110651397,
NewTv系列,#genre#
请用海鸥直播升级版观看,
联系客服QQ110651397,
斗鱼直播,#genre#
请用海鸥直播升级版观看,
联系客服QQ110651397,
历届春晚,#genre#
请用海鸥直播升级版观看,
联系客服QQ110651397,
