海外频道,#genre#
Sky News,http://50.7.238.98:8278/skynews_antik/playlist.m3u8?tid=MA7A8995522289955222&ct=19225&tsum=017cd1040a70d579955560a0c550c0f2

NHK World Premium,https://cdn.skygo.mn/live/disk1/NHK_World_Premium/HLSv3-FTA/NHK_World_Premium.m3u8
NHK World Premium,https://nhkwlive-pre-in.webcdn.stream.ne.jp/hls/live/nhkwlive-pre/index_1M.m3u8

NHK World,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index.m3u8
NHK World,https://nhkwlive-xjp.akamaized.net/hls/live/2003458/nhkwlive-xjp-en/index_1M.m3u8
NHK World,https://nhkwlive-xjp.akamaized.net/hls/live/2003458/nhkwlive-xjp-en/index.m3u8
NHK World,https://ythls.onrender.com/channel/UCSPEjw8F2nQDtmUKPFNF7_A.m3u8
NHK World,https://nhkworld.webcdn.stream.ne.jp/www11/nhkworld-tv/bmcc-live/zh/playlist.m3u8

NTV News 24,https://ythls.onrender.com/channel/UCuTAXTexrhetbOe3zgskJBQ.m3u8
NTV News 24,https://n24-cdn-live.ntv.co.jp/ch01/index.m3u8
NTV News 24,https://n24-cdn-live.ntv.co.jp/ch02/index.m3u8

TBS News,https://ythls.onrender.com/channel/UC6AG81pAkf6Lbi_1VC5NmPA.m3u8

Tokyo MX1,https://neetball.net/live/neet.m3u8

Tokyo MX2,https://movie.mcas.jp/mcas/mx2_2/master.m3u8
Tokyo MX2,https://movie.mcas.jp/mcas/smil:mx2_prod.smil/master.m3u8

Al Jazeera English,https://live-hls-v3-aje.getaj.net/AJE-V3/index.m3u8
Al Jazeera English,https://live-hls-web-aje.getaj.net/AJE/index.m3u8
Al Jazeera English,https://ythls.onrender.com/channel/UCNye-wNBqNL5ZzHSJj3l8Bg.m3u8

俄罗斯RT Documentary,https://rt-rtd.rttv.com/live/rtdoc/playlist.m3u8

德国DW Deutsch,https://dwamdstream106.akamaized.net/hls/live/2017965/dwstream106/index.m3u8
德国DW English,https://dwamdstream102.akamaized.net/hls/live/2015525/dwstream102/index.m3u8

Qatar TV 2,https://qatartv.akamaized.net/hls/live/2026574/qtv2/master.m3u8

ARTS,https://classicarts.akamaized.net/hls/live/1024257/CAS/master.m3u8

circle,https://circle-roku.amagi.tv/playlistR432p.m3u8

Pet Club TV,http://www.336699.live:1935/blocksix/4gtv-live110.stream/chunklist.m3u8

FTV,http://80.94.54.42/fashiontv/stream/playlist.m3u8
FTV,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
FTV,http://fash2043.cloudycdn.services//slive/_definst_/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/chunklist_b10668000_t64NGs=.m3u8
FTV,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8

KBC SBS,http://119.200.131.11:1935/KBCTV/tv/playlist.m3u8
KBC SBS,http://119.200.131.11:1935/KBCTV/tv/chunklist_w1292651282.m3u8

KCTV,http://119.77.96.184:1935/chn21/chn21/playlist.m3u8

TJB SBS,http://1.245.74.5:1935/live/tv/.m3u8

ubc SBS,http://59.23.231.102:1935/live/UBCstream/playlist.m3u8

CJB SBS,http://1.222.207.80:1935/live/cjbtv/chunklist_w1357270949.m3u8
CJB SBS,http://1.222.207.80:1935/live/cjbtv/playlist.m3u8

韓國新聞,http://183.110.27.87/mtnlive/definst/720/chunklist.m3u8
