央视频道,#genre#
CCTV10,http://mgsp-tx.live.miguvideo.com:8088/wd_r2/2018/ocn/cctv10hd/2000/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c2161&mdspid=&spid=699004&netType=4&sid=5500212874&pid=2028597139&timestamp=20231207143955&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=624878405&ParentNodeID=-99&assertID=5500212874&client_ip=124.128.133.137&SecurityKey=20231207143955&promotionId=&mvid=5100001696&mcid=500020&playurlVersion=WX-A1-6.11.3-RELEASE&userid=&jmhm=&videocodec=h264&encrypt=168f6e72352007766254507b1eb16cc0
CCTV11,http://mgsp-ali.live.miguvideo.com:8088/migu/kailu/cctv11hd/51/20200103/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c7719&mdspid=&spid=699004&netType=4&sid=5500988610&pid=2028597139&timestamp=20231207144024&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=667987558&ParentNodeID=-99&assertID=5500988610&client_ip=124.128.133.137&SecurityKey=20231207144024&promotionId=&mvid=5102751362&mcid=500020&playurlVersion=WX-A1-6.11.3-RELEASE&userid=&jmhm=&videocodec=h264&encrypt=83691956e13b96fe769efa85a1be310e
CCTV12,http://mgsp-ali.live.miguvideo.com:8088/migu/kailu/20200324/cctv12hd/51/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c4359&mdspid=&spid=699004&netType=4&sid=5501083627&pid=2028597139&timestamp=20231207144038&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=673168185&ParentNodeID=-99&assertID=5501083627&client_ip=124.128.133.137&SecurityKey=20231207144038&promotionId=&mvid=5102910389&mcid=500020&playurlVersion=WX-A1-6.11.3-RELEASE&userid=&jmhm=&videocodec=h264&encrypt=65005cde9aef501b1a61caa98c31ad63
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8

CCTV14,http://mgsp-hs.live.miguvideo.com:8088/wd_r2/2018/ocn/cctv14hd/2000/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c8800&mdspid=&spid=699004&netType=4&sid=5500212875&pid=2028597139&timestamp=20231207151743&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=624878440&ParentNodeID=-99&assertID=5500212875&client_ip=124.128.133.137&SecurityKey=20231207151743&promotionId=&mvid=5100001697&mcid=500020&playurlVersion=WX-A1-6.11.3-RELEASE&userid=&jmhm=&videocodec=h264&encrypt=a22671869a9671c91382d1984dd7a189

CCTV15,http://mgsp-hs.live.miguvideo.com:8088/migu/kailu/20200324/cctv15hd/51/20231201003242-01-56926.ts?msisdn=3083ef101384f0a094458a9315f6c2704&mdspid=&spid=699004&netType=4&sid=5501083628&pid=2028597139&timestamp=20231207144214&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=673168223&ParentNodeID=-99&assertID=5501083628&client_ip=124.128.133.137&SecurityKey=20231207144214&promotionId=&mvid=5102910391&mcid=500020&playurlVersion=WX-A1-6.11.3-RELEASE&userid=&jmhm=&videocodec=h264&mtv_session=669ea1fcfd6869ba771e9efeaf474b51&encrypt=d01bcf9c12fc23cd2c0ca68b04e8d0bd&HlsSubType=2&HlsProfileId=1
CCTV16,http://120.196.232.15:8088/rrs03.hw.gmcc.net/TVOD/651/224/3221226825/1.m3u8
CCTV17,http://mgsp-hs.live.miguvideo.com:8088/migu/kailu/20200324/cctv17hd/51/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c1128&mdspid=&spid=699004&netType=4&sid=5501083631&pid=2028597139&timestamp=20231207153350&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=673168256&ParentNodeID=-99&assertID=5501083631&client_ip=124.128.133.137&SecurityKey=20231207153350&promotionId=&mvid=5102910396&mcid=500020&playurlVersion=WX-A1-6.11.3-RELEASE&userid=&jmhm=&videocodec=h264&encrypt=03d81d2cff3753746356638cd79285c6

卫视频道,#genre#
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
江苏卫视,http://mgsp-tx.live.miguvideo.com:8088/wd_r2/cctv/jiangsuhd/1200/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c7039&mdspid=&spid=699067&netType=4&sid=5500199408&pid=2028597139&timestamp=20231207145614&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=623899368&ParentNodeID=-99&assertID=5500199408&client_ip=124.128.133.137&SecurityKey=20231207145614&promotionId=&mvid=5100156802&mcid=500020&playurlVersion=WX-A1-6.11.3-RELEASE&userid=&jmhm=&videocodec=h264&encrypt=19712123b7acdc0614cc4b72d32407ab
北京卫视,http://123.6.9.146/live/jz-beijingweishi/live.m3u8
湖南卫视,http://120.196.232.43:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226698/1.m3u8
东方卫视,http://hlsbkmgsplive.miguvideo.com/wd_r4/dfl/dongfangwshd/3000/index.m3u8?&encrypt=
广东卫视,http://hlsbkmgsplive.miguvideo.com/ws_w/2018/gdws/gdws2000/2000/index.m3u8?&encrypt=
山东卫视,http://mgsp-hs.live.miguvideo.com:8088/wd-shandonghd-1200/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c4964&mdspid=&spid=600633&netType=4&sid=5910020470&pid=2028597139&timestamp=20231207153526&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=738910366&ParentNodeID=-99&assertID=5910020470&client_ip=124.128.133.137&SecurityKey=20231207153526&promotionId=&mvid=5900004325&mcid=500020&playurlVersion=WX-A1-6.11.3-RELEASE&userid=&jmhm=&videocodec=h264&encrypt=f3b8e162a8207e3474f9130a995ecea5
安徽卫视,https://iptv.luas.edu.cn/liverespath/6e91e17de838dbf7c77f9ed8e41726bd4a1516f5/ec9faa9c2c-0-0-eba8b0aa7e77b66347bb37716b2f6b02/index.m3u8
河南卫视,http://120.196.232.29:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226668/1.m3u8
重庆卫视,http://mgws.live.miguvideo.com:8088/envivo_x/2018/SD/chongqing/1000/index.m3u8?msisdn=3083ef101384f0a094458a9315f6c5677&mdspid=&spid=600633&netType=4&sid=5910020476&pid=2028597139&timestamp=20231207153924&Channel_ID=0116_25000303-99000-101700010040002&ProgramID=738910914&ParentNodeID=-99&assertID=5910020476&client_ip=124.128.133.137&SecurityKey=20231207153924&promotionId=&mvid=5900004329&mcid=500020&playurlVersion=WX-A1-6.11.3-RELEASE&userid=&jmhm=&videocodec=h264&encrypt=926c518984a10a062fa99b14c5f244c1
